15	10	E	-7643838.196149275	134
emissionprobs	13	2	H3k09me3	1	0.0010443696829083623
emissionprobs	13	3	H3k27acStd	0	0.9986186702882426
emissionprobs	13	3	H3k27acStd	1	0.0013813297117574765
emissionprobs	13	4	H3k27me3Std	0	0.7142265736098425
emissionprobs	13	4	H3k27me3Std	1	0.2857734263901574
emissionprobs	13	5	H3k36me3Std	0	0.9995934842497832
emissionprobs	13	5	H3k36me3Std	1	4.0651575021671826E-4
emissionprobs	13	6	H3k4me1Std	0	0.9983765488268518
emissionprobs	13	6	H3k4me1Std	1	0.0016234511731482578
emissionprobs	13	7	H3k79me2	0	0.9999106206299452
emissionprobs	13	7	H3k79me2	1	8.937937005477239E-5
emissionprobs	13	8	H3k9acStd	0	0.9996833419322382
emissionprobs	13	8	H3k9acStd	1	3.1665806776188485E-4
emissionprobs	13	9	H3k9me1Std	0	0.9973484880315312
emissionprobs	13	9	H3k9me1Std	1	0.002651511968468907
emissionprobs	14	0	Ezh239875	0	0.9971311445116957
emissionprobs	14	0	Ezh239875	1	0.0028688554883043228
emissionprobs	14	1	H2az	0	0.9975350722435887
emissionprobs	14	1	H2az	1	0.002464927756411156
emissionprobs	14	2	H3k09me3	0	0.9983598929988934
emissionprobs	14	2	H3k09me3	1	0.0016401070011065329
emissionprobs	14	3	H3k27acStd	0	0.9987150805198063
emissionprobs	14	3	H3k27acStd	1	0.0012849194801937956
emissionprobs	14	4	H3k27me3Std	0	0.995943870705303
emissionprobs	14	4	H3k27me3Std	1	0.004056129294696951
emissionprobs	14	5	H3k36me3Std	0	0.9992521531611694
emissionprobs	14	5	H3k36me3Std	1	7.478468388306796E-4
emissionprobs	14	6	H3k4me1Std	0	0.999707429819024
emissionprobs	14	6	H3k4me1Std	1	2.925701809759992E-4
emissionprobs	14	7	H3k79me2	0	0.9999583184464353
emissionprobs	14	7	H3k79me2	1	4.168155356470386E-5
emissionprobs	14	8	H3k9acStd	0	0.9998452058278383
emissionprobs	14	8	H3k9acStd	1	1.5479417216159543E-4
emissionprobs	14	9	H3k9me1Std	0	0.9984929422424194
emissionprobs	14	9	H3k9me1Std	1	0.001507057757580553
emissionprobs	15	0	Ezh239875	0	0.09248664262492516
emissionprobs	15	0	Ezh239875	1	0.9075133573750749
emissionprobs	15	1	H2az	0	0.8407125691087148
emissionprobs	15	1	H2az	1	0.15928743089128516
emissionprobs	15	2	H3k09me3	0	0.9958848171010528
emissionprobs	15	2	H3k09me3	1	0.004115182898947245
emissionprobs	15	3	H3k27acStd	0	0.9985827705364956
emissionprobs	15	3	H3k27acStd	1	0.0014172294635044925
emissionprobs	15	4	H3k27me3Std	0	0.43567780315447113
emissionprobs	15	4	H3k27me3Std	1	0.5643221968455289
emissionprobs	15	5	H3k36me3Std	0	0.9995652939631962
emissionprobs	15	5	H3k36me3Std	1	4.3470603680389146E-4
emissionprobs	15	6	H3k4me1Std	0	0.9589504248677265
emissionprobs	15	6	H3k4me1Std	1	0.04104957513227341
emissionprobs	15	7	H3k79me2	0	0.999058039577044
emissionprobs	15	7	H3k79me2	1	9.419604229560239E-4
emissionprobs	15	8	H3k9acStd	0	0.9963275459899862
emissionprobs	15	8	H3k9acStd	1	0.0036724540100138412
emissionprobs	15	9	H3k9me1Std	0	0.9983908006970321
emissionprobs	15	9	H3k9me1Std	1	0.0016091993029678537
